id,host_name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,region_parent_name
19186229,Connemara Coastal Cottages,53.544,-10.13764,Entire home/apt,12,4,7,$158.00,1,100,Galway County Council
2614053,Olga,53.04917,-7.26492,Private room,2,1,1,$35.00,26,97,Laois County Council
24072522,Megan,54.70734,-7.96674,Entire home/apt,6,3,4,$105.00,36,99,Donegal County Council
12750688,Elaine,53.46461,-9.69856,Private room,3,1,2,$80.00,12,100,Galway County Council
43447411,Mark,54.47699,-8.29536,Entire home/apt,8,5,6,$250.00,9,100,Donegal County Council
45133613,Erika,54.64875,-8.09463,Entire home/apt,3,2,2,$80.00,7,94,Donegal County Council
14812741,Bernadine,52.91134,-7.02234,Hotel room,2,1,1,$110.00,0,,Laois County Council
37648193,Audrey,53.43309,-9.3097,Private room,2,1,1,$80.00,1,100,Galway County Council
20295890,Tim,52.9477,-7.08976,Private room,2,1,1,$72.00,4,100,Laois County Council
39250918,Mary,54.0484,-8.1317,Private room,15,7,10,$40.00,0,,Roscommon County Council
25576740,Caroline,53.33663,-9.88119,Entire home/apt,6,3,4,$130.00,14,100,Galway County Council
44467121,Vincent,53.93917,-8.11652,Entire home/apt,4,2,2,$160.00,0,,Roscommon County Council
24982746,Caroilin,53.73901,-7.92094,Entire home/apt,6,3,3,$165.00,68,97,Roscommon County Council
16876792,William & Jennifer,54.6373,-8.35776,Entire home/apt,6,3,4,$85.00,11,100,Donegal County Council
8637783,Geraldine,53.3971,-9.89117,Entire home/apt,2,1,1,$123.00,14,97,Galway County Council
9688074,Helen,54.54789,-7.83326,Private room,4,4,4,$45.00,30,98,Donegal County Council
34110902,Darren,54.48927,-8.25365,Private room,1,1,1,$30.00,1,100,Donegal County Council
47330225,Declan,53.78102,-8.12646,Entire home/apt,7,3,5,$60.00,2,100,Roscommon County Council
37487786,David,53.42965,-9.27941,Entire home/apt,11,5,6,$215.00,4,100,Galway County Council
3680735,Maria,53.90172,-8.58471,Private room,2,1,1,$55.00,14,99,Roscommon County Council
6594814,Maria,53.90401,-8.5849,Private room,2,1,2,$65.00,24,99,Roscommon County Council
20092759,Mary,53.54819,-9.31652,Entire home/apt,5,3,4,$90.00,37,98,Galway County Council
39855850,Serena,53.91852,-8.11361,Entire home/apt,4,2,2,$139.00,0,,Roscommon County Council
31739224,Margaret,53.97541,-8.28976,Private room,4,3,4,$30.00,0,,Roscommon County Council
19322288,Rosemarie,53.824,-7.91561,Private room,2,1,1,$75.00,0,,Leitrim County Council
15021690,Joanne,54.95086,-7.42713,Entire home/apt,12,6,8,$147.00,123,92,Donegal County Council
27630675,Bronwen,53.42834,-9.32091,Private room,5,2,2,$80.00,7,94,Galway County Council
44456137,Catrina,55.08726,-7.28324,Entire home/apt,2,1,1,$50.00,6,100,Donegal County Council
23504158,Adrian,53.95538,-8.65156,Entire home/apt,4,2,2,$40.00,22,94,Roscommon County Council
7705503,Marilyn,53.77597,-8.10229,Private room,2,1,1,$60.00,3,80,Roscommon County Council
16706051,Bridget,53.34381,-9.60582,Entire home/apt,6,3,3,$90.00,37,98,Galway County Council
117022,Niamh,53.47075,-8.01705,Private room,4,1,2,$113.00,19,100,Roscommon County Council
26342485,Kathleen,55.13764,-7.45673,Entire home/apt,4,2,2,$75.00,37,98,Donegal County Council
26469224,John,53.32519,-9.83497,Entire home/apt,12,6,6,$90.00,39,97,Galway County Council
23973472,Brian & Marion,55.09729,-7.25978,Entire home/apt,4,2,3,$55.00,65,100,Donegal County Council
32781503,Sinéad,53.46369,-8.21697,Entire home/apt,7,4,4,$50.00,30,99,Roscommon County Council
11665532,Áine,53.30983,-9.74537,Private room,2,2,3,$80.00,29,99,Galway County Council
24653593,Bridie,55.1198,-7.4448,Entire home/apt,8,4,5,$139.00,5,92,Donegal County Council
23245135,Connemara Holiday Lettings,53.48963,-10.02047,Entire home/apt,4,2,2,$62.00,1,80,Galway County Council
19738598,Kevin,54.10315,-7.44166,Entire home/apt,6,3,4,$116.00,5,100,Cavan County Council
6774606,Thomas,53.49379,-10.06455,Entire home/apt,4,2,3,$80.00,21,96,Galway County Council
20719285,Connemara Holiday Lettings,53.48809,-10.01768,Entire home/apt,6,3,4,$103.00,8,95,Galway County Council
14319194,Kevin,54.10278,-7.43922,Entire home/apt,8,4,5,$106.00,9,96,Cavan County Council
44188789,Grainne,55.09557,-7.23302,Private room,3,1,0,$104.00,15,100,Donegal County Council
41394736,Connemara Holiday Lettings,53.5148,-10.10115,Entire home/apt,8,5,5,$167.00,1,100,Galway County Council
22841732,James,55.14978,-7.44208,Entire home/apt,8,4,4,$68.00,4,100,Donegal County Council
36475389,Margaret,54.09446,-7.47526,Private room,3,1,3,$50.00,3,100,Cavan County Council
20792925,Connemara Holiday Lettings,53.54327,-10.01603,Entire home/apt,13,6,9,$158.00,6,97,Galway County Council
15282591,Anna,53.5291,-10.12625,Entire home/apt,12,6,8,$200.00,39,97,Galway County Council
31647992,Barry,54.08988,-7.46067,Entire home/apt,6,2,2,$79.00,21,94,Cavan County Council
31784702,David,52.82858,-9.11942,Private room,13,5,2,$65.00,2,90,Clare County Council
43427112,Mel And Ady,53.53918,-10.14475,Entire home/apt,9,4,6,$240.00,6,100,Galway County Council
28400642,Linda,52.63204,-9.61071,Entire home/apt,4,2,2,$95.00,3,87,Clare County Council
5291080,Seamus,54.11728,-7.47741,Entire home/apt,7,3,5,$85.00,15,95,Cavan County Council
5880914,Terri,53.48674,-10.03008,Entire home/apt,6,3,4,$91.00,150,95,Galway County Council
